"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Seccio_Censal","Tipus_Vehicles","Desc_Distintiu_Ambiental","Nombre"
2024,"01","Ciutat Vella","01","el Raval","001","Turismes","",75
2024,"01","Ciutat Vella","01","el Raval","001","Turismes","0",10
2024,"01","Ciutat Vella","01","el Raval","001","Turismes","B",96
2024,"01","Ciutat Vella","01","el Raval","001","Turismes","C",125
2024,"01","Ciutat Vella","01","el Raval","001","Turismes","E",41
2024,"01","Ciutat Vella","01","el Raval","001","Turismes","No consta",2
2024,"01","Ciutat Vella","01","el Raval","001","Motos","",16
2024,"01","Ciutat Vella","01","el Raval","001","Motos","0",14
2024,"01","Ciutat Vella","01","el Raval","001","Motos","B",13
2024,"01","Ciutat Vella","01","el Raval","001","Motos","C",103
2024,"01","Ciutat Vella","01","el Raval","001","Ciclomotors","",8
2024,"01","Ciutat Vella","01","el Raval","001","Ciclomotors","0",221
2024,"01","Ciutat Vella","01","el Raval","001","Ciclomotors","B",15
2024,"01","Ciutat Vella","01","el Raval","001","Ciclomotors","C",1
2024,"01","Ciutat Vella","01","el Raval","001","Furgonetes","",14
2024,"01","Ciutat Vella","01","el Raval","001","Furgonetes","0",1
2024,"01","Ciutat Vella","01","el Raval","001","Furgonetes","B",14
2024,"01","Ciutat Vella","01","el Raval","001","Furgonetes","C",8
2024,"01","Ciutat Vella","01","el Raval","001","Camions","",14
2024,"01","Ciutat Vella","01","el Raval","001","Camions","B",6
2024,"01","Ciutat Vella","01","el Raval","001","Camions","C",26
2024,"01","Ciutat Vella","01","el Raval","001","Camions","No consta",1
2024,"01","Ciutat Vella","01","el Raval","001","Altres vehicles","",110
2024,"01","Ciutat Vella","01","el Raval","001","Altres vehicles","No consta",1
2024,"01","Ciutat Vella","01","el Raval","002","Turismes","",41
2024,"01","Ciutat Vella","01","el Raval","002","Turismes","0",4
2024,"01","Ciutat Vella","01","el Raval","002","Turismes","B",59
2024,"01","Ciutat Vella","01","el Raval","002","Turismes","C",75
2024,"01","Ciutat Vella","01","el Raval","002","Turismes","E",9
2024,"01","Ciutat Vella","01","el Raval","002","Turismes","No consta",2
