,nombre,tipo,direccion,type2,schuko,ccs2,chademo
0,Ap. BSM - Estació Bcn-Nord,Parking,83 Carrer de Nàpols 08013,88,70,0,0
1,Estació Barcelona-Nord,Parking,83 Carrer de Nàpols 08013,58,48,0,0
2,Ap. BSM - Rius i Taulet,Parking,17 Avinguda de Rius i Taulet 08004,41,23,0,0
3,Rius i Taulet,Parking,17 Avinguda de Rius i Taulet 08004,32,32,0,0
4,Ap. BSM - Plaça Bonanova,Parking,2 Plaça de la Bonanova 08022,35,17,0,0
5,Ap. BSM - Cotxeres de Sarrià,Parking,77 Passeig de Manuel Girona 08034,33,17,0,0
6,Ap. BSM - Cardenal Sentmenat,Parking,25 Carrer del Cardenal Sentmenat 08017,31,16,0,0
7,Ap. BSM - Sant Andreu Teatre,Parking,6 Carrer de les Monges 08030,30,12,0,0
8,Ap. BSM - Plaça Navas,Parking,6 Carrer de Jaume Fabra 08004,29,13,0,0
9,Ap. BSM - Travessera de Dalt,Parking,3 Avinguda del Santuari de Sant Josep de la Muntanya 08024,32,8,0,0
10,Ap. BSM - Plaça del Fòrum,Parking,4 Avinguda d'Eduard Maristany 08930,26,12,0,0
11,Cardenal Sentmenat-Vergós,Parking,25 Carrer del Cardenal Sentmenat 08017,21,16,0,0
12,Ap. BSM - Torrent de l´Olla,Parking,38 Carrer de Nil Fabra 08012,25,11,0,0
13,Mercat de Sant Antoni,Parking,1 Carrer del Comte d'Urgell 08011,22,13,0,0
14,Sant Andreu Teatre,Parking,6 Carrer de les Monges 08030,18,17,0,0
15,Plaça Bonanova,Parking,2 Plaça de la Bonanova 08022,21,13,0,0
16,Ap. BSM - Mercat de Sant Antoni,Parking,1 Carrer del Comte d'Urgell 08011,30,3,0,0
17,Ap. BSM - Passeig Maragall,Parking,54S Passeig de Maragall 08041,24,7,0,0
18,Travessera de Dalt – Park Güell,Parking,3 Avinguda del Santuari de Sant Josep de la Muntanya 08024,18,13,0,0
19,Ap. BSM - Illa Borbó,Parking,77s Carrer de Ramon Albó 08027,24,6,0,0
20,Marina Gràcia,Parking,378 Carrer de la Marina 08025,12,9,0,0
21,Charge point EDP Charge,Superficie,N5 Moll d'Espanya 08039,20,0,0,0
22,CC. Maremagnum Barcelona,Parking,N5 Moll d'Espanya 08039,20,0,0,0
23,Ap. BSM - Litoral Port,Parking,34S Avinguda del Litoral 08005,16,4,0,0
24,Ap. BSM - Hospital del Mar,Parking,25 Passeig Marítim de la Barceloneta 08003,17,3,0,0
25,Plaça Navas,Parking,6 Carrer de Jaume Fabra 08004,13,7,0,0
26,Plaça del Fòrum,Parking,2 Carrer d'Eduard Maristany 08930,10,10,0,0
27,Plaça Joanic,Parking,71 Carrer de Bruniquer 08024,12,8,0,0
28,Tanatori les Corts,Parking,Carrer de Menéndez y Pelayo 08028,10,10,0,0
29,Service Center Zal,Parking,90 Avinguda Ports d'Europa 08040,20,0,0,0
30,Badajoz,Parking,173 Carrer de Badajoz 08018,11,8,0,0
31,Interparking Hispania/7169,Superficie,38 Carrer d'Esteve Terradas 08023,18,0,0,0
32,Gran Via de les Corts Catalanes 400 - Parking ONCE,Parking,406 Gran Via de les Corts Catalanes 08015,18,0,0,0
33,"Av. Diagonal, 598",Superficie,598 Avinguda Diagonal 08021,12,6,0,0
34,Ap. BSM - Badajoz,Parking,173 Carrer de Badajoz 08018,13,5,0,0
35,Ap. BSM - Flos i Calcat,Parking,2 Carrer de Flos i Calcat 08034,14,4,0,0
36,Plaça de les Arts,Parking,47d Avinguda Meridiana 08013,9,9,0,0
37,Hospital del Mar,Parking,8 Carrer del Gas 08003,9,9,0,0
38,Plaça Francesc Layret,Parking,Via Júlia 08042,9,9,0,0
39,Ferran Casablancas,Parking,2S Carrer de Josep Balari 08022,9,9,0,0
40,Ap. BSM - Mitre - Putxet,Parking,205 Ronda del General Mitre 08023,15,2,0,0
41,Ap. BSM - Ona Glòries,Parking,171 Carrer de la Ciutat de Granada 08018,11,6,0,0
42,Ona Glòries,Parking,176 Carrer de la Ciutat de Granada 08018,11,6,0,0
43,Bilbao Llull,Parking,32.X Carrer de Bilbao 08005,12,5,0,0
44,Torrent de l´Olla,Parking,23 Carrer de Nil Fabra 08012,10,7,0,0
45,2666-Telpark - Barceloneta Port Vell,Superficie,4402 Plaça de Pau Vila 08039,16,0,0,0
46,"Av. Diagonal, 508 (lateral Muntanya)",Superficie,508 Avinguda Diagonal 08006,8,8,0,0
47,Ap. BSM - P. R. Biomèdica,Parking,179 Ronda Litoral 08003,14,2,0,0
48,Avinguda Gaudí,Parking,328 Carrer de los Castillejos 08025,8,8,0,0
49,Passeig Maragall,Parking,54S Passeig de Maragall 08041,12,4,0,0
50,Marquès de Mulhacén,Parking,51 Carrer del Marquès de Mulhacen 08034,8,8,0,0
51,Moll de la Fusta,Parking,1800 Ronda Litoral 08039,8,8,0,0
52,CC Westfield Glòries,Superficie,208 Avinguda Diagonal 08018,15,0,0,0
53,Parking Carlos III (PowerGo),Parking,9 Gran Via de Carles III 08028,15,0,0,0
54,Ap. BSM - Porta de Sarrià,Parking,17 Carrer de Salvador Mundí 08017,13,2,0,0
55,Ap. BSM - Bilbao Llull,Parking,32X Carrer de Bilbao 08005,10,5,0,0
56,Mitre - Putxet,Parking,205 Ronda del General Mitre 08023,9,6,0,0
57,Telpark - Hospital Clínic-CEK,Parking,149 Carrer del Rosselló 08036,14,0,0,0
58,Fluvià 102-118,Superficie,368 Carrer de Fluvià 08019,6,4,2,2
59,Ap. BSM - Mercat del Guinardó,Parking,24 Carrer de Teodor Llorente 08041,13,1,0,0
60,Ap. BSM - Tanatori Les Corts,Parking,Carrer de Menéndez y Pelayo 08028,12,2,0,0
61,Mercat Sagrada Família,Parking,437 Carrer de Mallorca 08013,10,4,0,0
62,Ciutat del Teatre,Parking,35.C Carrer de la França Xica 08004,7,7,0,0
63,Encants,Parking,162 Carrer de los Castillejos 08013,9,4,0,0
64,Concepció Arenal,Parking,145 Carrer de Concepción Arenal 08027,8,5,0,0
65,Obramat - Sabadell,Superficie,17 Carrer Riu 08205,2,0,10,0
66,Obramat - Sabadell,Parking,17 Carrer Riu 08205,2,0,10,0
67,Interparking Hispania/6278,Superficie,9 Carrer de Casp 08010,12,0,0,0
68,Telpark - Sancho de Ávila,Parking,31X Carrer de Sancho de Ávila 08018,12,0,0,0
69,Ap. BSM - Bus Garcia Fària,Parking,560 Carrer de Josep Pla 08019,8,4,0,0
70,Ap. BSM - Concepció Arenal,Parking,145 Carrer de Concepción Arenal 08027,7,5,0,0
71,undefined,Superficie,43 Carrer d'Arquímedes 08030,12,0,0,0
72,Litoral Port,Parking,34.S Avinguda del Litoral 08005,6,6,0,0
73,Parking Doctor Trueta - Promoparc,Superficie,218 Carrer del Doctor Trueta 08005,11,0,0,0
74,LIV Student Barcelona,Superficie,86 Carrer de Puigcerdà 08019,11,0,0,0
75,"Mas Casanovas, 69",Superficie,65 Carrer del Mas Casanovas 08041,5,0,3,3
76,"Josep Pla, 2",Superficie,20 Carrer de Josep Pla 08019,6,3,1,1
77,Ap. BSM - Encants,Parking,162 Carrer de los Castillejos 08013,9,2,0,0
78,CEVASA,Parking,23 Carrer de Dublín 08027,11,0,0,0
79,Rambla Poblenou,Parking,130.X Rambla del Poblenou 08018,9,2,0,0
80,Marina Port,Parking,s/n Moll de la Marina 08005,6,5,0,0
81,Parking Diagonal Numancia,Parking,22 Carrer de Flos i Calcat 08034,10,0,0,0
82,Interparking Hispania/6280,Superficie,169 Carrer de Provença 08036,10,0,0,0
83,Ap. BSM - Rambla Poblenou,Parking,130.X Rambla del Poblenou 08018,8,2,0,0
84,Ap. BSM - Ciutat del Teatre,Parking,35 Carrer de la França Xica 08004,7,3,0,0
85,Ap. BSM - Marquès de Mulhacén,Parking,42X Carrer del Marquès de Mulhacen 08034,8,2,0,0
86,Ap. BSM - Sant Genís,Parking,158 Passeig de la Vall d'Hebron 08035,8,2,0,0
87,Parking Larrondo,Parking,77 Carrer de Pujades 08005,10,0,0,0
88,"Av. Diagonal, 447 (lateral Mar)",Superficie,445 Avinguda Diagonal 08036,2,4,2,2
89,Fluvià 102-118,Superficie,368 Carrer de Fluvià 08019,2,4,2,2
90,Puerto Transmediterranea,Superficie,1 Moll de Sant Bertran 08039,10,0,0,0
91,"Av. Diagonal, 387 (lateral mar)",Superficie,310 Carrer de Còrsega 08008,4,5,0,0
92,"Av. Diagonal, 429 (lateral Mar)",Superficie,431 Avinguda Diagonal 08006,4,5,0,0
