Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Valor,EDAT_1,SEXE
2025-01-01,1,Ciutat Vella,1,el Raval,1,6,0,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,12,0,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,11,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,8,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,10,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,11,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,11,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,11,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,16,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,7,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,10,5,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,11,5,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,11,6,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,13,6,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,10,7,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,10,7,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,..,8,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,6,8,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,10,9,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,9,9,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,12,10,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,8,10,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,9,11,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,14,11,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,16,12,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,7,12,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,10,13,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,9,13,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,9,14,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,10,14,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,8,15,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,8,15,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,..,16,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,5,16,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,5,17,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,5,17,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,9,18,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,10,18,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,10,19,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,7,19,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,12,20,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,13,20,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,17,21,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,9,21,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,16,22,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,10,22,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,29,23,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,25,23,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,29,24,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,24,24,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,27,25,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,37,25,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,33,26,1
