Nom_Districte,Antiguitat,Valor
Ciutat Vella,1 any,2787
Ciutat Vella,10 anys,1661
Ciutat Vella,2 anys,4269
Ciutat Vella,3 anys,1868
Ciutat Vella,4 anys,2491
Ciutat Vella,5 anys,3426
Ciutat Vella,6 anys,2117
Ciutat Vella,7 anys,1714
Ciutat Vella,8 anys,2114
Ciutat Vella,9 anys,1517
Ciutat Vella,D'11 a 20 anys,12252
Ciutat Vella,Menys d'un any d'antiguitat,2456
Ciutat Vella,Més de 20 anys,6973
Ciutat Vella,No consta,9
Eixample,1 any,6239
Eixample,10 anys,4323
Eixample,2 anys,5413
Eixample,3 anys,5569
Eixample,4 anys,6226
Eixample,5 anys,7316
Eixample,6 anys,7163
Eixample,7 anys,6756
Eixample,8 anys,6432
Eixample,9 anys,5769
Eixample,D'11 a 20 anys,43248
Eixample,Menys d'un any d'antiguitat,6763
Eixample,Més de 20 anys,21354
Eixample,No consta,30
Gràcia,1 any,2421
Gràcia,10 anys,1905
Gràcia,2 anys,2118
Gràcia,3 anys,2337
Gràcia,4 anys,2632
Gràcia,5 anys,3245
Gràcia,6 anys,3211
Gràcia,7 anys,3081
Gràcia,8 anys,2706
Gràcia,9 anys,2384
Gràcia,D'11 a 20 anys,20009
Gràcia,Menys d'un any d'antiguitat,2254
Gràcia,Més de 20 anys,9814
Gràcia,No consta,7
Horta-Guinardó,1 any,3413
Horta-Guinardó,10 anys,2684
Horta-Guinardó,2 anys,3020
Horta-Guinardó,3 anys,3341
Horta-Guinardó,4 anys,3864
Horta-Guinardó,5 anys,5008
Horta-Guinardó,6 anys,4617
Horta-Guinardó,7 anys,4554
Horta-Guinardó,8 anys,3911
Horta-Guinardó,9 anys,3515
Horta-Guinardó,D'11 a 20 anys,29349
Horta-Guinardó,Menys d'un any d'antiguitat,3236
Horta-Guinardó,Més de 20 anys,12433
Horta-Guinardó,No consta,9
Les Corts,1 any,2194
Les Corts,10 anys,1670
Les Corts,2 anys,1930
Les Corts,3 anys,2043
Les Corts,4 anys,2243
Les Corts,5 anys,2800
Les Corts,6 anys,2917
Les Corts,7 anys,2750
Les Corts,8 anys,2352
Les Corts,9 anys,2101
Les Corts,D'11 a 20 anys,15739
Les Corts,Menys d'un any d'antiguitat,3197
Les Corts,Més de 20 anys,8065
Les Corts,No consta,9
Nou Barris,1 any,2787
Nou Barris,10 anys,2238
Nou Barris,2 anys,2401
Nou Barris,3 anys,2695
Nou Barris,4 anys,3225
Nou Barris,5 anys,4273
Nou Barris,6 anys,4082
Nou Barris,7 anys,3744
Nou Barris,8 anys,3241
Nou Barris,9 anys,2861
Nou Barris,D'11 a 20 anys,25820
Nou Barris,Menys d'un any d'antiguitat,2702
Nou Barris,Més de 20 anys,10826
Nou Barris,No consta,7
Sant Andreu,1 any,2912
Sant Andreu,10 anys,2295
Sant Andreu,2 anys,2897
Sant Andreu,3 anys,2755
Sant Andreu,4 anys,3365
Sant Andreu,5 anys,4606
Sant Andreu,6 anys,4101
Sant Andreu,7 anys,3730
Sant Andreu,8 anys,3313
Sant Andreu,9 anys,2943
Sant Andreu,D'11 a 20 anys,23654
Sant Andreu,Menys d'un any d'antiguitat,2900
Sant Andreu,Més de 20 anys,9179
Sant Andreu,No consta,4
Sant Martí,1 any,5058
Sant Martí,10 anys,3598
Sant Martí,2 anys,4278
Sant Martí,3 anys,4776
Sant Martí,4 anys,6734
Sant Martí,5 anys,7134
Sant Martí,6 anys,6358
Sant Martí,7 anys,6127
Sant Martí,8 anys,5511
Sant Martí,9 anys,4648
Sant Martí,D'11 a 20 anys,37249
Sant Martí,Menys d'un any d'antiguitat,4919
Sant Martí,Més de 20 anys,15181
Sant Martí,No consta,12
Sants-Montjuïc,1 any,4478
Sants-Montjuïc,10 anys,2615
Sants-Montjuïc,2 anys,3719
Sants-Montjuïc,3 anys,3534
Sants-Montjuïc,4 anys,3739
Sants-Montjuïc,5 anys,5061
Sants-Montjuïc,6 anys,4777
Sants-Montjuïc,7 anys,4606
Sants-Montjuïc,8 anys,4044
Sants-Montjuïc,9 anys,3564
Sants-Montjuïc,D'11 a 20 anys,28960
Sants-Montjuïc,Menys d'un any d'antiguitat,6737
Sants-Montjuïc,Més de 20 anys,12930
Sants-Montjuïc,No consta,9
Sarrià-St. Gervasi,1 any,4678
Sarrià-St. Gervasi,10 anys,3441
Sarrià-St. Gervasi,2 anys,4249
Sarrià-St. Gervasi,3 anys,4395
Sarrià-St. Gervasi,4 anys,4826
Sarrià-St. Gervasi,5 anys,5645
Sarrià-St. Gervasi,6 anys,6011
Sarrià-St. Gervasi,7 anys,5530
Sarrià-St. Gervasi,8 anys,4748
Sarrià-St. Gervasi,9 anys,4186
Sarrià-St. Gervasi,D'11 a 20 anys,32197
Sarrià-St. Gervasi,Menys d'un any d'antiguitat,4756
Sarrià-St. Gervasi,Més de 20 anys,19521
Sarrià-St. Gervasi,No consta,17
