Nom_Districte,Nom_Barri,Antiguitat,Valor
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",1 any,1837
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",10 anys,238
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",2 anys,1349
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",3 anys,405
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",4 anys,820
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",5 anys,2115
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",6 anys,789
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",7 anys,363
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",8 anys,358
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",9 anys,271
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",D'11 a 20 anys,2551
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Menys d'un any d'antiguitat,1349
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Més de 20 anys,1496
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",No consta,6
Ciutat Vella,el Barri Gòtic,1 any,286
Ciutat Vella,el Barri Gòtic,10 anys,954
Ciutat Vella,el Barri Gòtic,2 anys,231
Ciutat Vella,el Barri Gòtic,3 anys,408
Ciutat Vella,el Barri Gòtic,4 anys,503
Ciutat Vella,el Barri Gòtic,5 anys,252
Ciutat Vella,el Barri Gòtic,6 anys,296
Ciutat Vella,el Barri Gòtic,7 anys,464
Ciutat Vella,el Barri Gòtic,8 anys,867
Ciutat Vella,el Barri Gòtic,9 anys,619
Ciutat Vella,el Barri Gòtic,D'11 a 20 anys,3491
Ciutat Vella,el Barri Gòtic,Menys d'un any d'antiguitat,347
Ciutat Vella,el Barri Gòtic,Més de 20 anys,2002
Ciutat Vella,el Barri Gòtic,No consta,2
Ciutat Vella,el Raval,1 any,461
Ciutat Vella,el Raval,10 anys,278
Ciutat Vella,el Raval,2 anys,408
Ciutat Vella,el Raval,3 anys,388
Ciutat Vella,el Raval,4 anys,648
Ciutat Vella,el Raval,5 anys,589
Ciutat Vella,el Raval,6 anys,523
Ciutat Vella,el Raval,7 anys,488
Ciutat Vella,el Raval,8 anys,485
Ciutat Vella,el Raval,9 anys,383
Ciutat Vella,el Raval,D'11 a 20 anys,4129
Ciutat Vella,el Raval,Menys d'un any d'antiguitat,443
Ciutat Vella,el Raval,Més de 20 anys,2502
Ciutat Vella,la Barceloneta,1 any,203
Ciutat Vella,la Barceloneta,10 anys,191
Ciutat Vella,la Barceloneta,2 anys,2281
Ciutat Vella,la Barceloneta,3 anys,667
Ciutat Vella,la Barceloneta,4 anys,520
Ciutat Vella,la Barceloneta,5 anys,470
Ciutat Vella,la Barceloneta,6 anys,509
Ciutat Vella,la Barceloneta,7 anys,399
Ciutat Vella,la Barceloneta,8 anys,404
Ciutat Vella,la Barceloneta,9 anys,244
Ciutat Vella,la Barceloneta,D'11 a 20 anys,2081
Ciutat Vella,la Barceloneta,Menys d'un any d'antiguitat,317
Ciutat Vella,la Barceloneta,Més de 20 anys,973
Ciutat Vella,la Barceloneta,No consta,1
Eixample,Sant Antoni,1 any,655
Eixample,Sant Antoni,10 anys,507
Eixample,Sant Antoni,2 anys,534
Eixample,Sant Antoni,3 anys,620
Eixample,Sant Antoni,4 anys,644
Eixample,Sant Antoni,5 anys,877
Eixample,Sant Antoni,6 anys,850
Eixample,Sant Antoni,7 anys,807
Eixample,Sant Antoni,8 anys,764
Eixample,Sant Antoni,9 anys,659
Eixample,Sant Antoni,D'11 a 20 anys,5366
Eixample,Sant Antoni,Menys d'un any d'antiguitat,611
Eixample,Sant Antoni,Més de 20 anys,2601
Eixample,Sant Antoni,No consta,7
Eixample,el Fort Pienc,1 any,616
Eixample,el Fort Pienc,10 anys,480
Eixample,el Fort Pienc,2 anys,528
Eixample,el Fort Pienc,3 anys,573
Eixample,el Fort Pienc,4 anys,669
