,nombre,tipo,direccion,type2,schuko,ccs2,chademo,cpostal,Nom_Districte,total_punts
0,Ap. BSM - Estació Bcn-Nord,Parking,83 Carrer de Nàpols 08013,88,70,0,0,8013,Eixample,158
1,Estació Barcelona-Nord,Parking,83 Carrer de Nàpols 08013,58,48,0,0,8013,Eixample,106
2,Ap. BSM - Rius i Taulet,Parking,17 Avinguda de Rius i Taulet 08004,41,23,0,0,8004,Sants-Montjuïc,64
3,Rius i Taulet,Parking,17 Avinguda de Rius i Taulet 08004,32,32,0,0,8004,Sants-Montjuïc,64
4,Ap. BSM - Plaça Bonanova,Parking,2 Plaça de la Bonanova 08022,35,17,0,0,8022,Sarrià-St. Gervasi,52
5,Ap. BSM - Cotxeres de Sarrià,Parking,77 Passeig de Manuel Girona 08034,33,17,0,0,8034,Les Corts,50
6,Ap. BSM - Cardenal Sentmenat,Parking,25 Carrer del Cardenal Sentmenat 08017,31,16,0,0,8017,Sarrià-St. Gervasi,47
7,Ap. BSM - Sant Andreu Teatre,Parking,6 Carrer de les Monges 08030,30,12,0,0,8030,Sant Andreu,42
8,Ap. BSM - Plaça Navas,Parking,6 Carrer de Jaume Fabra 08004,29,13,0,0,8004,Sants-Montjuïc,42
9,Ap. BSM - Travessera de Dalt,Parking,3 Avinguda del Santuari de Sant Josep de la Muntanya 08024,32,8,0,0,8024,Horta-Guinardó,40
10,Cardenal Sentmenat-Vergós,Parking,25 Carrer del Cardenal Sentmenat 08017,21,16,0,0,8017,Sarrià-St. Gervasi,37
11,Ap. BSM - Torrent de l´Olla,Parking,38 Carrer de Nil Fabra 08012,25,11,0,0,8012,Gràcia,36
12,Mercat de Sant Antoni,Parking,1 Carrer del Comte d'Urgell 08011,22,13,0,0,8011,Eixample,35
13,Sant Andreu Teatre,Parking,6 Carrer de les Monges 08030,18,17,0,0,8030,Sant Andreu,35
14,Plaça Bonanova,Parking,2 Plaça de la Bonanova 08022,21,13,0,0,8022,Sarrià-St. Gervasi,34
15,Ap. BSM - Mercat de Sant Antoni,Parking,1 Carrer del Comte d'Urgell 08011,30,3,0,0,8011,Eixample,33
16,Ap. BSM - Passeig Maragall,Parking,54S Passeig de Maragall 08041,24,7,0,0,8041,Horta-Guinardó,31
17,Travessera de Dalt – Park Güell,Parking,3 Avinguda del Santuari de Sant Josep de la Muntanya 08024,18,13,0,0,8024,Horta-Guinardó,31
18,Marina Gràcia,Parking,378 Carrer de la Marina 08025,12,9,0,0,8025,Horta-Guinardó,21
19,Ap. BSM - Litoral Port,Parking,34S Avinguda del Litoral 08005,16,4,0,0,8005,Sant Martí,20
20,Ap. BSM - Hospital del Mar,Parking,25 Passeig Marítim de la Barceloneta 08003,17,3,0,0,8003,Ciutat Vella,20
21,Plaça Navas,Parking,6 Carrer de Jaume Fabra 08004,13,7,0,0,8004,Sants-Montjuïc,20
