Nom_Districte,Nom_Barri,Tipus_Propulsio,Unidades
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Diesel,2035
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Eléctrica,4084
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Gasolina,7177
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Hibrido,536
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",No consta,17
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Otros,98
Ciutat Vella,el Barri Gòtic,Diesel,4158
Ciutat Vella,el Barri Gòtic,Eléctrica,188
Ciutat Vella,el Barri Gòtic,Gasolina,5838
Ciutat Vella,el Barri Gòtic,Hibrido,337
Ciutat Vella,el Barri Gòtic,No consta,34
Ciutat Vella,el Barri Gòtic,Otros,167
Ciutat Vella,el Raval,Diesel,3411
Ciutat Vella,el Raval,Eléctrica,128
Ciutat Vella,el Raval,Gasolina,7156
Ciutat Vella,el Raval,Hibrido,769
Ciutat Vella,el Raval,No consta,15
Ciutat Vella,el Raval,Otros,246
Ciutat Vella,la Barceloneta,Diesel,1553
Ciutat Vella,la Barceloneta,Eléctrica,2033
Ciutat Vella,la Barceloneta,Gasolina,5231
Ciutat Vella,la Barceloneta,Hibrido,345
Ciutat Vella,la Barceloneta,No consta,3
Ciutat Vella,la Barceloneta,Otros,95
Eixample,Sant Antoni,Diesel,3911
Eixample,Sant Antoni,Eléctrica,182
Eixample,Sant Antoni,Gasolina,10199
Eixample,Sant Antoni,Hibrido,944
Eixample,Sant Antoni,No consta,21
Eixample,Sant Antoni,Otros,245
Eixample,el Fort Pienc,Diesel,3771
Eixample,el Fort Pienc,Eléctrica,147
Eixample,el Fort Pienc,Gasolina,9163
Eixample,el Fort Pienc,Hibrido,1059
Eixample,el Fort Pienc,No consta,17
Eixample,el Fort Pienc,Otros,164
Eixample,l'Antiga Esquerra de l'Eixample,Diesel,5241
Eixample,l'Antiga Esquerra de l'Eixample,Eléctrica,496
Eixample,l'Antiga Esquerra de l'Eixample,Gasolina,14884
Eixample,l'Antiga Esquerra de l'Eixample,Hibrido,1552
Eixample,l'Antiga Esquerra de l'Eixample,No consta,36
Eixample,l'Antiga Esquerra de l'Eixample,Otros,239
Eixample,la Dreta de l'Eixample,Diesel,8293
Eixample,la Dreta de l'Eixample,Eléctrica,705
Eixample,la Dreta de l'Eixample,Gasolina,17302
Eixample,la Dreta de l'Eixample,Hibrido,2476
Eixample,la Dreta de l'Eixample,No consta,56
Eixample,la Dreta de l'Eixample,Otros,808
Eixample,la Nova Esquerra de l'Eixample,Diesel,7465
Eixample,la Nova Esquerra de l'Eixample,Eléctrica,401
Eixample,la Nova Esquerra de l'Eixample,Gasolina,18240
Eixample,la Nova Esquerra de l'Eixample,Hibrido,2246
Eixample,la Nova Esquerra de l'Eixample,No consta,28
Eixample,la Nova Esquerra de l'Eixample,Otros,293
Eixample,la Sagrada Família,Diesel,5326
Eixample,la Sagrada Família,Eléctrica,264
Eixample,la Sagrada Família,Gasolina,14388
Eixample,la Sagrada Família,Hibrido,1587
Eixample,la Sagrada Família,No consta,11
Eixample,la Sagrada Família,Otros,441
Gràcia,Vallcarca i els Penitents,Diesel,2031
Gràcia,Vallcarca i els Penitents,Eléctrica,154
Gràcia,Vallcarca i els Penitents,Gasolina,6299
Gràcia,Vallcarca i els Penitents,Hibrido,597
Gràcia,Vallcarca i els Penitents,No consta,16
Gràcia,Vallcarca i els Penitents,Otros,83
Gràcia,el Camp d'en Grassot i Gràcia Nova,Diesel,3704
Gràcia,el Camp d'en Grassot i Gràcia Nova,Eléctrica,172
Gràcia,el Camp d'en Grassot i Gràcia Nova,Gasolina,11116
Gràcia,el Camp d'en Grassot i Gràcia Nova,Hibrido,1101
Gràcia,el Camp d'en Grassot i Gràcia Nova,No consta,10
Gràcia,el Camp d'en Grassot i Gràcia Nova,Otros,173
Gràcia,el Coll,Diesel,933
Gràcia,el Coll,Eléctrica,44
Gràcia,el Coll,Gasolina,2630
Gràcia,el Coll,Hibrido,200
Gràcia,el Coll,No consta,3
Gràcia,el Coll,Otros,34
Gràcia,la Salut,Diesel,1552
Gràcia,la Salut,Eléctrica,81
Gràcia,la Salut,Gasolina,4854
Gràcia,la Salut,Hibrido,468
Gràcia,la Salut,No consta,2
Gràcia,la Salut,Otros,77
Gràcia,la Vila de Gràcia,Diesel,5305
Gràcia,la Vila de Gràcia,Eléctrica,334
Gràcia,la Vila de Gràcia,Gasolina,14609
Gràcia,la Vila de Gràcia,Hibrido,1247
Gràcia,la Vila de Gràcia,No consta,29
Gràcia,la Vila de Gràcia,Otros,266
Horta-Guinardó,Can Baró,Diesel,1188
Horta-Guinardó,Can Baró,Eléctrica,37
Horta-Guinardó,Can Baró,Gasolina,3415
Horta-Guinardó,Can Baró,Hibrido,253
Horta-Guinardó,Can Baró,No consta,6
Horta-Guinardó,Can Baró,Otros,64
Horta-Guinardó,Horta,Diesel,3450
Horta-Guinardó,Horta,Eléctrica,77
Horta-Guinardó,Horta,Gasolina,8606
Horta-Guinardó,Horta,Hibrido,786
Horta-Guinardó,Horta,No consta,10
Horta-Guinardó,Horta,Otros,191
Horta-Guinardó,Montbau,Diesel,656
Horta-Guinardó,Montbau,Eléctrica,12
Horta-Guinardó,Montbau,Gasolina,1545
Horta-Guinardó,Montbau,Hibrido,149
Horta-Guinardó,Montbau,No consta,2
Horta-Guinardó,Montbau,Otros,44
Horta-Guinardó,Sant Genís dels Agudells,Diesel,934
Horta-Guinardó,Sant Genís dels Agudells,Eléctrica,33
Horta-Guinardó,Sant Genís dels Agudells,Gasolina,2265
Horta-Guinardó,Sant Genís dels Agudells,Hibrido,210
Horta-Guinardó,Sant Genís dels Agudells,Otros,44
Horta-Guinardó,el Baix Guinardó,Diesel,2773
Horta-Guinardó,el Baix Guinardó,Eléctrica,96
Horta-Guinardó,el Baix Guinardó,Gasolina,7792
Horta-Guinardó,el Baix Guinardó,Hibrido,725
Horta-Guinardó,el Baix Guinardó,No consta,16
Horta-Guinardó,el Baix Guinardó,Otros,134
Horta-Guinardó,el Carmel,Diesel,3968
Horta-Guinardó,el Carmel,Eléctrica,81
Horta-Guinardó,el Carmel,Gasolina,10017
